 ,Area,Mean,Min,Max,Angle,Length
1,25,158.599,109.385,229.000,-104.621,23.770
2,33,163.395,102.836,227.000,-111.801,32.311
3,22,149.571,58.000,209.204,-106.699,20.881
4,19,148.023,91.222,221.000,-102.529,18.439
5,26,149.688,95.747,231.709,-118.610,25.060
6,23,146.870,79.000,219.000,-90.000,22.000
7,23,136.731,88.409,209.045,-120.069,21.954
8,33,151.554,75.354,217.415,-34.919,32.319
9,20,133.315,75.934,188.177,-152.103,19.235
10,19,129.799,70.025,226.167,111.501,17.734
11,22,130.971,78.714,163.214,-98.130,21.213
12,24,142.003,76.146,222.973,-104.036,22.677
13,20,146.159,75.000,229.238,109.855,19.138
14,22,141.499,105.000,184.531,-103.707,21.101
15,18,140.645,57.618,209.471,-101.634,17.357
16,25,137.111,74.000,196.609,-102.265,23.537
17,18,140.444,70.549,217.000,-71.565,17.393
18,25,153.670,74.250,226.417,-94.764,24.083
19,21,141.929,95.390,216.120,53.130,20.000
20,28,154.589,80.500,212.179,-48.013,26.907
21,20,158.666,85.500,234.485,-105.524,18.682
22,20,147.006,100.684,197.596,114.567,19.242
23,19,148.643,80.000,227.000,128.157,17.804
24,23,166.536,100.777,208.500,-64.026,21.691
25,26,139.485,65.000,195.574,-69.717,24.520
26,23,157.261,61.500,216.000,-90.000,22.000
27,19,138.225,85.000,215.500,-91.591,18.007
28,26,163.249,65.500,237.000,-91.146,25.005
29,32,155.890,89.612,244.016,125.218,31.213
30,21,165.184,86.500,224.602,-69.775,20.248
31,29,162.719,119.857,224.116,-14.534,27.893
32,20,161.084,90.443,213.543,-128.660,19.209
33,22,141.010,83.500,215.367,102.680,20.500
34,21,132.746,82.268,194.400,-87.064,19.526
35,22,150.064,99.762,226.667,-54.782,20.809
36,28,135.198,60.774,210.000,151.557,27.295
37,17,153.309,81.750,217.000,90.000,16.000
38,26,133.988,72.500,196.380,126.870,25.000
39,32,150.511,95.077,223.067,-79.778,30.992
40,34,153.487,54.650,210.888,76.171,33.470
41,26,152.089,84.920,231.766,145.670,24.824
42,26,156.353,90.463,206.236,-14.859,25.348
43,19,149.948,77.500,192.708,165.174,17.586
44,21,144.622,98.000,204.531,140.194,19.526
45,14,147.378,99.370,211.491,-51.340,12.806
46,23,144.485,94.835,199.000,154.026,21.691
47,22,147.353,68.842,211.830,-108.726,20.766
48,18,152.056,90.750,221.977,-94.399,17.385
49,24,159.109,118.130,223.761,-89.170,23.002
50,21,141.070,91.633,209.120,141.633,20.407
51,22,141.314,78.722,221.689,155.037,21.326
52,33,161.910,90.667,215.361,-138.366,32.111
53,26,146.193,54.250,215.650,-179.236,25.002
54,23,132.111,74.708,226.880,-71.288,21.820
55,24,161.072,120.166,210.482,-96.710,22.823
56,16,151.589,76.500,200.000,-96.340,15.092
57,23,151.522,79.424,198.621,120.069,21.954
58,19,155.994,114.593,196.620,-87.879,18.012
59,27,140.064,88.694,186.662,149.534,26.297
60,28,163.694,98.602,246.817,137.010,26.887
61,18,149.351,116.010,233.106,-48.918,17.247
62,25,151.656,67.065,221.017,-92.420,23.688
63,22,137.668,76.866,199.502,-82.528,20.507
64,28,145.319,89.547,184.040,165.793,27.164
65,25,152.191,110.642,195.321,-127.185,24.267
66,17,159.761,111.656,238.833,122.381,16.183
67,22,161.028,103.247,225.704,-48.900,20.790
68,15,147.499,78.000,222.000,146.310,14.422
69,13,155.474,109.875,204.750,104.621,11.885
70,19,159.123,75.500,233.470,-68.499,17.734
71,21,150.288,92.200,184.800,-177.138,20.025
72,26,151.742,89.280,226.000,-116.565,24.597
73,20,175.889,105.000,242.974,-119.197,19.474
74,18,168.777,97.433,208.536,105.709,16.621
75,20,156.850,100.105,211.053,120.700,18.608
76,14,177.713,117.836,226.041,142.696,13.200
77,23,147.332,85.000,203.577,-125.538,21.506
78,16,149.949,78.204,210.060,-148.392,15.264
79,26,157.267,66.435,243.542,60.832,24.622
80,30,174.164,117.000,237.007,49.939,28.745
81,16,130.217,82.000,188.400,103.134,15.403
82,14,141.222,99.000,193.817,-148.671,13.463
83,16,161.379,106.733,250.467,-93.814,15.033
84,19,159.795,130.750,202.000,140.599,18.118
85,34,137.770,66.752,199.392,125.640,32.608
86,20,147.835,103.075,198.302,-41.878,19.474
87,22,132.983,80.027,191.718,-115.346,21.024
88,24,143.940,86.523,231.000,125.395,23.308
89,17,144.055,76.250,236.500,-50.194,15.620
90,24,129.400,84.739,201.630,-91.245,23.005
91,13,142.335,92.944,198.306,-70.017,11.705
92,14,163.718,110.722,210.763,101.310,12.748
93,20,151.162,62.000,202.737,121.218,19.294
94,20,118.836,61.463,177.000,152.745,18.561
95,24,149.584,96.577,200.000,167.196,22.561
96,21,133.190,77.855,190.140,-103.325,19.526
97,15,145.310,100.000,189.980,-122.005,14.151
98,16,133.840,93.000,164.500,76.430,14.916
99,18,137.810,57.882,210.324,90.000,16.500
100,15,154.557,102.000,203.082,110.323,14.396
101,18,129.574,84.500,179.500,59.621,16.808
102,21,160.829,81.400,217.200,168.690,20.396
103,14,143.118,115.510,180.581,-108.435,12.649
104,23,151.769,93.645,221.000,135.909,22.277
105,25,159.796,111.571,211.750,-105.461,24.382
106,24,150.342,73.973,211.896,143.130,22.500
107,17,131.974,69.492,202.000,111.801,16.155
108,21,160.272,107.200,209.225,157.932,19.962
109,20,139.800,96.500,187.500,-90.000,19.000
110,19,137.184,75.000,220.486,-55.008,18.310
111,21,134.200,76.125,184.570,113.385,20.156
112,20,155.945,94.501,229.657,-65.433,19.242
113,20,148.665,112.904,214.729,-128.418,18.507
114,22,163.795,105.175,225.235,174.428,20.597
115,19,126.974,59.500,189.167,-85.236,18.062
116,43,154.793,79.102,232.416,163.960,41.620
117,18,151.589,104.384,232.971,-108.435,17.393
118,23,146.022,84.000,207.000,-90.000,22.000
119,38,143.680,60.062,232.009,132.274,37.165
120,23,142.775,78.904,216.364,-115.408,22.142
121,30,167.851,122.603,230.545,-103.799,29.347
122,22,157.987,120.796,223.000,-65.225,21.477
123,20,134.085,77.521,202.809,-91.548,18.507
124,29,135.616,82.000,183.366,-62.049,27.735
125,16,156.752,103.500,226.000,129.560,14.916
126,19,137.556,95.000,165.586,141.843,17.804
127,24,141.117,81.000,197.136,135.000,23.335
128,23,155.024,100.434,233.676,161.565,22.136
129,25,147.813,69.667,241.000,-99.462,24.331
130,20,167.227,105.750,188.500,-91.507,19.007
131,18,146.846,75.000,211.768,-110.556,17.088
132,30,183.017,128.133,225.469,-107.819,29.411
133,23,154.375,106.455,214.636,149.265,21.523
134,31,132.980,56.102,215.153,117.848,29.971
135,27,155.192,58.000,219.112,-107.745,26.249
136,20,132.142,53.789,197.895,-96.009,19.105
137,14,151.379,90.462,211.308,-102.995,13.342
138,44,150.324,61.000,213.984,-123.690,43.267
139,18,176.946,108.308,250.478,-125.538,17.205
140,38,142.061,77.860,202.463,-139.399,36.878
141,46,147.145,95.104,212.807,141.340,44.822
142,29,144.117,72.000,219.000,-45.000,28.284
143,22,158.220,112.556,186.027,-117.759,21.471
144,19,142.635,93.833,189.000,-70.560,18.028
145,29,168.337,93.429,222.545,-104.534,27.893
146,26,161.696,96.000,237.352,-66.501,25.080
147,39,131.337,79.825,181.000,-146.725,38.275
148,32,179.927,119.195,242.086,140.194,31.241
149,30,145.409,63.000,223.862,176.055,29.069
150,23,164.872,65.000,221.614,-103.392,21.587
151,30,152.359,106.597,223.895,-56.310,28.844
152,34,146.839,53.000,208.438,-12.339,32.757
153,21,150.605,62.000,227.250,-75.256,19.647
154,21,182.959,78.780,231.000,-116.565,20.125
155,45,180.786,91.545,251.909,-95.194,44.181
156,29,164.853,112.561,226.250,147.995,28.302
157,20,159.505,95.418,240.870,-124.509,19.416
158,18,149.371,114.180,204.052,-72.646,16.763
159,19,137.754,63.000,204.333,-102.529,18.439
160,16,156.875,63.000,243.000,-90.000,15.000
161,23,155.865,103.000,205.971,-122.276,22.472
162,27,161.436,94.846,206.762,-35.538,25.807
163,22,156.835,120.000,218.254,-131.186,21.260
164,33,157.623,87.000,215.760,-115.769,32.202
165,31,137.662,88.267,201.000,-70.346,29.732
166,43,156.853,70.000,217.268,-46.909,42.450
167,38,165.225,107.323,236.619,-55.008,36.620
168,29,161.504,69.000,255.000,-87.955,28.018
169,20,153.749,100.734,185.864,137.121,19.105
170,17,132.436,58.000,170.000,129.806,15.620
171,23,144.107,74.818,233.091,-79.695,22.361
172,24,150.889,54.957,248.130,-92.490,23.022
173,22,155.484,81.184,244.333,-58.570,21.095
174,29,168.912,110.000,214.467,117.474,28.178
175,22,143.171,48.429,227.143,-84.560,21.095
